proposicao_id,descricao
2128135,"Apresentação do VTS n. 1 CDHMIR (Voto em Separado), pelo Deputado Delegado Paulo Bilynskyj (PL/SP)."
2128135,"Rejeitado o requerimento de retirada de pauta. Resultado:  4 votos ""Sim"", 9 votos ""Não"". Quórum de votação: 13 votos."
2136674,Aprovada a Redação Final.
2147312,Aprovado o Parecer.
2147513,"Apresentação do VTS n. 1 CCJC (Voto em Separado), pelo Deputado Patrus Ananias (PT/MG -Fdr PT-PCdoB-PV)."
2147513,"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  3 votos ""Sim"", 31 votos ""Não"". Quórum de votação: 34 votos e 11 Obstruções."
2147513,"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  13 votos ""Sim"", 36 votos ""Não"". Quórum de votação: 49 votos e 5 Obstruções."
2147513,"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  2 votos ""Sim"", 45 votos ""Não"". Quórum de votação: 47 votos e 11 Obstruções."
2150161,Aprovado o Parecer.
2150163,"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  17 votos ""Sim"", 25 votos ""Não"". Quórum de votação: 42 votos."
2150163,"Apresentação do VTS n. 1 CCJC (Voto em Separado), pelo Deputado Gilson Marques (NOVO/SC)."
2150371,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2152118,Aprovado o Parecer.
2153585,Aprovado o Parecer com Complementação de Voto.
2153841,Aprovado o Parecer.
2153845,Aprovado o Parecer.
2155387,Aprovada a Redação Final.
2158742,Aprovado o Parecer.
2159804,Aprovado o Parecer.
2160124,Aprovado o Parecer.
2160128,"Apresentação do VTS n. 2 CIDOSO (Voto em Separado), pelo Deputado Alexandre Lindenmeyer (PT/RS -Fdr PT-PCdoB-PV)."
2160128,"Aprovado o Parecer do Relator, Deputado Geraldo Resende, com Complementação de Voto, com voto contrário do Deputado Alexandre Lindenmeyer. Apresentou voto em separado o Deputado Alexandre Lindenmeyer.

."
2160856,Aprovado o Parecer.
2163153,Aprovado o Parecer.
2163153,Aprovada a Redação Final.
2163377,Aprovada a Redação Final.
2163968,Aprovado o Parecer.
2164554,"Aprovado o Parecer com Complementação de Voto, apresentou voto em separado o Deputado Eli Corrêa Filho."
2166464,Rejeitado o Requerimento.
2166464,"Aprovado o Projeto de Lei Complementar nº 459, de 2017. Sim: 384; não: 59; abstenção: 1; total: 444."
2166464,Rejeitadas as Emendas de Plenário. Sim: 2; não: 413; abstenção: 1; total: 416.
2167716,"Aprovadas as Emendas do Senado Federal ao Projeto de Lei nº 9.484, de 2018, exceto o caput e § 1º do art. 3 da Lei nº 12.244, de 24 de maio de 2010."
2167716,"Aprovada a Redação Final assinada pela Relatora, Dep. Fernanda Melchionna (PSOL-RS)."
2167882,"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 9.543, de 2018, adotada pelo relator da Comissão de Minas e Energia. Sim: 325; não: 97; abstenção: 1; total: 423."
2167882,"Aprovada a Redação Final assinada pelo Relator, Dep. Pedro Campos (PSB-PE)."
2168156,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2169012,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2171367,Aprovado o Parecer.
2171926,"Apresentação do VTS n. 1 CTRAB (Voto em Separado), pelo Deputado Luiz Gastão (PSD/CE)."
2171926,"Aprovado o Parecer, apresentou voto em separado o Deputado Luiz Gastão."
2173222,Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1884/2023.
2173222,"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 10.106, de 2018, adotada pelo relator da Comissão de Saúde."
2173222,"Aprovada a Redação Final assinada pelo Relator, Dep. Ruy Carneiro (PODE-PB)."
2173931,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2175127,Aprovado o Parecer.
2175537,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2175977,"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  12 votos ""Sim"", 26 votos ""Não"". Quórum de votação: 38 votos."
2175977,"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  13 votos ""Sim"", 32 votos ""Não"". Quórum de votação: 45 votos."
2175977,"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  1 voto ""Sim"", 34 votos ""Não"". Quórum de votação: 35 votos e 6 Obstruções."
2175977,"Rejeitado o Requerimento de Adiamento de Votação, de autoria do Deputado Patrus Ananias. Resultado:  2 votos ""Sim"", 39 votos ""Não"". Quórum de votação: 41 votos e 8 Obstruções."
2175977,"Aprovado o Parecer com o seguinte resultado:  37 votos ""Sim"", 7 votos ""Não"". Quórum de votação: 44 votos."
2176161,Aprovado o Parecer com Complementação de Voto.
2176184,Aprovado o Parecer.
2176184,Aprovada a Redação Final.
2176598,Aprovado o Parecer.
2176877,Aprovada a Redação Final.
2178336,Aprovada a Redação Final.
2178899,Aprovado o Parecer.
2180386,"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  2 votos ""Sim"", 32 votos ""Não"", 1 Abstenção. Quórum de votação: 35 votos e 10 Obstruções."
2180386,Aprovado o Parecer.
2180568,"Aprovado o requerimento de inversão de pauta, do deputado Tião Medeiros."
2181500,Aprovado o Parecer.
2181620,Rejeitado o Requerimento de Retirada de Pauta.
2181620,Rejeitado o Requerimento de Retirada de Pauta.
2181620,"Rejeitado o Requerimento de Retirada de Pauta, de autoria dos Deputados Pastor Henrique Vieira, Erika Hilton e Sâmia Bomfim."
2181620,"Aprovado o parecer do Relator, ressalvado os destaques."
2181620,Aprovada a matéria destacada no Destaque nº 1/2024. Fica mantido o texto do  Substitutivo do Relator.
2181620,"Aprovada a matéria destacada no Destaque nº 4/2024. Fica mantido o texto do Substitutivo do Relator, contra o voto da Deputada Erika Kokay."
2181620,Aprovada a matéria destacada no Destaque nº 3/2024. Fica mantido o texto do Substitutivo do Relator.
2181620,"Aprovada a matéria destacada no Destaque nº 2/2024, contra o voto da Deputada Erika Kokay. Fica mantido o texto do Substitutivo do Relator"
2182452,Aprovado o Parecer.
2183096,Aprovada a Redação Final.
2183118,"Apresentação do VTS n. 1 CASP (Voto em Separado), pelo Deputado Capitão Alberto Neto (PL/AM)."
2184914,Aprovado o Parecer.
2187037,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2187044,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2188775,"Alteração do Regime de Tramitação desta proposição em virtude da alteração do regime do PL 4372/2016, por ter sido aprovado o REQ 1814/2024 que está apensado ao primeiro."
2188775,"Alteração do Regime de Tramitação desta proposição em virtude da alteração do regime do PL 4372/2016, por ter sido aprovado o REQ 1814/2024 que está apensado ao primeiro."
2189822,Aprovado o Parecer.
2189822,"Aprovado o Projeto de Decreto Legislativo nº 1.162, de 2018."
2189822,"Aprovada a Redação Final, assinada pelo Relator, Dep. Arthur Oliveira Maia (UNIÃO-BA)."
2189943,Aprovado o Parecer.
2189984,Aprovado o Parecer.
2190520,Aprovado o Parecer.
2190520,Aprovado o Parecer.
2190651,"Aprovado o Parecer, contra os votos dos Deputados Pastor Henrique Vieira e Flávio Nogueira e apresentaram votos em separado os Deputados Coronel Telhada e Pedro Aihara."
2190668,Aprovada a Redação Final.
2190707,Aprovada a Redação Final.
2190719,Aprovado o Parecer.
2190908,"Realizar o encaminhamento do PL-351/2019 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência."
2190908,Aprovado o Parecer.
2190986,"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  8 votos ""Sim"", 38 votos ""Não"". Quórum de votação: 46 votos válidos e 2 obstruções."
2190986,"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  7 votos ""Sim"", 33 votos ""Não"", 1 Abstenção. Quórum de votação: 41 votos e 1 obstrução."
2190986,Aprovado o Requerimento de Encerramento de Discussão. Encerrada a discussão.
2190986,Aprovada a matéria destacada. Fica mantido o texto do Relator
2190986,"Aprovado o Parecer, ressalvado o Destaque, com o seguinte resultado:  38 votos ""Sim"", 18 votos ""Não"". Quórum de votação: 56 votos, apresentou voto em separado o Deputado Patrus Ananias."
2190986,"Apresentação do VTS n. 1 CCJC (Voto em Separado), pelo Deputado Patrus Ananias (PT/MG -Fdr PT-PCdoB-PV)."
2191098,Aprovado o Parecer.
2191146,Aprovado o Parecer.
2191241,"Apresentação do VTS n. 4 CTRAB (Voto em Separado), pelo Deputado Luiz Gastão (PSD/CE)."
2191260,Aprovada a Emenda de Redação n° 1.
2191260,"Aprovada a Redação Final assinada pela Relatora, Dep. Delegada Katarina (PSD-SE)."
2191260,"Aprovadas as Emendas do Senado Federal nºs 1, 2, 4, 5, 6, 7, 8 e 9 ao Projeto de Lei nº 501, de 2019."
2191260,"Rejeitadas as Emendas do Senado Federal nºs 3 e 10 ao Projeto de Lei nº 501, de 2019."
2191260,"Realizar o encaminhamento do PL-501/2019 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência."
2191260,"Realizar o encaminhamento do PL-501/2019 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência."
2191260,"Realizar o encaminhamento do PL-501/2019 à CSPCCO (tramitação simultânea), em razão da aprovação de requerimento de urgência."
2191260,"Realizar o encaminhamento do PL-501/2019 à CMULHER (tramitação simultânea), em razão da aprovação de requerimento de urgência."
2191394,"Aprovado o Parecer em votação simbólica, contra o Voto da Deputada Gisela Simona."
2191394,"Aprovado o Parecer, em votação simbólica, contra o voto da Dep. Gisela Simona. Apresentou voto em separado o Deputado Gilson Marques."
2191948,Aprovado o Parecer.
2192366,Aprovado o Parecer.
2192533,Aprovado o Parecer.
2192533,Aprovada a Redação Final.
2192575,Aprovado o Parecer.
2192590,Aprovada a Redação Final.
2192604,"Apresentação do VTS n. 1 CCJC (Voto em Separado), pelo Deputado Bacelar (PV/BA -Fdr PT-PCdoB-PV)."
2192889,"Aprovado o parecer da Relatora, Deputada Laura Carneiro."
2192935,Aprovado o Parecer.
2193385,Aprovado o Parecer.
2193594,Aprovado o Parecer.
2193817,Aprovado o Parecer.
2193974,Aprovado o Parecer.
2194388,Rejeitado o Requerimento de Retirada de Pauta.
2194388,Aprovado o Parecer.
2194388,Aprovado o Parecer.
2195164,Aprovada a Redação Final.
2195362,Aprovado o Parecer.
2196022,Aprovado o Parecer com Complementação de Voto.
2196577,Aprovado o Parecer.
2196793,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2196822,Aprovado o Parecer.
2197237,Aprovado o Parecer.
2197437,Aprovado o Parecer.
2197761,Aprovado o Parecer.
2197768,Aprovada a Redação Final.
2198572,Aprovado o Parecer.
2198855,Aprovadas as emendas de redação e a Redação Final
2199133,Aprovado o Parecer.
2199252,Aprovado o Parecer.
2200146,Aprovada a Redação Final.
2200800,Aprovado o Parecer.
2203096,Aprovado o Parecer.
2203431,Aprovado o Parecer.
2203916,Aprovado o Parecer.
2203916,Aprovada a Redação Final.
2204088,"Realizar o encaminhamento do PL-3010/2019 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência."
2204088,"Realizar o encaminhamento do PL-3010/2019 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência."
2204088,"Realizar o encaminhamento do PL-3010/2019 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência."
2204495,Aprovado o Parecer.
2204700,Aprovada a Redação Final.
2205244,Aprovado o Parecer.
2205264,Aprovada a Redação Final.
2205506,Aprovada a Redação Final.
2205772,Aprovado o Parecer.
2205782,Aprovado o Parecer.
2205782,Aprovada a Redação Final.
2206604,Aprovada a Redação Final.
2206678,Aprovada a Redação Final.
2207082,Aprovado o Parecer.
2207498,"Aprovado o Requerimento de Inversão de Pauta, do deputado Luiz Nishimori."
2207520,"Aprovado o Substitutivo ao Projeto de Lei nº 3.446, de 2019, da Comissão de Saúde."
2207520,"Aprovada a Redação Final assinada pelo relator, Dep. Marco Brasil (PP-PR)."
2207780,Aprovado o Parecer.
2207803,Aprovado o Parecer.
2208086,Aprovada a Redação Final.
2208323,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2208704,Aprovadas a emenda de redação e a Redação de final
2208718,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2209314,Aprovado o Parecer.
2210140,Aprovado o Parecer.
2210920,Rejeitado o Requerimento de Votação Nominal.
2210920,Rejeitado o Requerimento de Retirada de Pauta.
2210920,"Rejeitado, em votação simbólica, o Requerimento de Retirada de Pauta."
2210920,"Rejeitada a  Retirada de Pauta. Resultado: 13 votos ""Não"". Quórum de votação: 13 votos."
2211028,"Aprovado o Projeto de Decreto Legislativo nº 466, de 2019."
2211028,Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).
2211321,Aprovado o Parecer.
2211754,Aprovado o Parecer.
2211969,Aprovado o Parecer.
2212908,"Rejeitado o Requerimento de Retirada de Pauta. Resultado: 35 votos ""Não"". Quórum de votação: 35 votos e 5 Obstruções."
2213219,Aprovado o Parecer.
2213234,"Aprovado o Parecer, com a abstenção do Deputado Arlindo Chinaglia."
2213284,Aprovado o Parecer.
2213873,Aprovada a Redação Final.
2213985,Aprovado o Parecer.
2214060,Aprovado o Parecer.
2214220,Aprovado o Parecer.
2214320,Aprovado o Parecer.
2214943,Rejeitado o Requerimento de Retirada de Pauta.
2214943,Aprovado o Parecer.
2215627,Aprovado o Parecer.
2215691,Aprovado o Parecer.
2216654,Aprovada a Redação Final.
2216851,Aprovado o Parecer.
2217169,Aprovado o Parecer.
2217702,Aprovada a Redação Final.
2217739,Aprovado o Parecer.
2217834,Aprovado o Parecer.
2218742,Aprovado o Parecer.
2219094,Aprovado o Parecer.
2219786,Aprovada a Redação Final.
2220404,Aprovado o Parecer.
2220673,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2220696,Aprovado o Parecer.
2220755,Aprovado o Parecer.
2220934,Aprovado o Parecer.
2220934,Aprovada a Redação Final.
2220974,Aprovado o Parecer.
2221428,Aprovado o Parecer com Complementação de Voto.
2222049,Aprovado o Parecer.
2222065,Rejeitado o Requerimento de Retirada de Pauta.
2222852,Aprovado o Parecer.
2222970,"Aprovado o Parecer, com voto contrário do Deputado Arlindo Chinaglia."
2222970,Aprovado o Parecer.
2223003,Aprovado o Parecer.
2223432,Aprovado o Parecer.
2223861,Aprovado o Parecer.
2224270,Aprovada a Redação Final.
2224311,Aprovado o Parecer.
2225224,"Aprovado o Parecer, com o voto contrário do deputado Alfredinho."
2225333,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2225432,Aprovado o Parecer.
2225432,Aprovado o Parecer.
2226782,Aprovado o Parecer.
2227693,Aprovado o Parecer.
2227776,Aprovado o Parecer.
2227851,Aprovado o Parecer.
2227946,Aprovado o Parecer.
2228145,Aprovado o Parecer.
2228745,Aprovada a Redação Final.
2229128,Aprovado o Parecer.
2229202,Aprovado o Parecer.
2229379,Aprovado o Parecer com Complementação de Voto.
2229379,Aprovada a Redação Final.
2229544,Aprovado o Parecer com Complementação de Voto.
2229719,Aprovado o Parecer.
2230063,Aprovado o Parecer.
2230794,Aprovada a Redação Final.
2230870,Aprovado o Parecer.
2230870,Aprovado o Parecer.
2231851,Aprovada a Redação Final.
2231864,Aprovado o Parecer.
2233390,Aprovado o Parecer.
2233470,Aprovado o Parecer.
2233471,Aprovado o Parecer.
2234427,Aprovada a Redação Final.
2236272,Aprovada a Redação Final.
2236291,"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 13, de 2020, adotada pelo relator da Comissão de Ciência, Tecnologia e Inovação, ressalvados os destaques."
2236291,Mantido o texto. Sim: 313; não: 116; total: 429.
2236291,Mantido o texto.
2236291,"Aprovada a Redação Final assinada pelo relator, André Figueiredo (PDT-CE)."
2236328,Aprovado o Parecer.
2236354,Aprovada a Redação Final.
2236984,Aprovado o Parecer.
2237000,Aprovado o Parecer.
2237000,Aprovada a Redação Final.
2237326,Aprovado o Parecer.
2237833,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”."
2238115,Aprovado o Parecer.
2238115,"Realizar o encaminhamento do PL-431/2020 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência."
2238328,Aprovado o Parecer.
2238330,Aprovada a Redação Final.
2238434,Mantido o texto. Sim: 382; não: 48; total: 430.
2238434,Rejeitado o Art. 15 da Emenda de Plenário nº 4. Sim: 38; não: 376; abstenção: 1; total: 415.
2238434,Aprovada a Redação Final assinada pelo relator Dep. Arnaldo Jardim (CIDADANIA-SP).
2238434,"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 528, de 2020, adotada pelo relator da Comissão de Minas e Energia, ressalvados os destaques. Sim: 429; não: 19; abstenção: 3; total: 451."
2238434,Rejeitada a Emenda de Plenário nº 22. Sim: 14; não: 362; total: 376.
2238434,Mantido o texto. Sim: 288; não: 62; abstenção: 1; total: 351.
